q_value,value1,value2
Q106935,ec9aa607-ec36-4b2c-b813-8dca9b90b1a4,2003-04-20T00:00:00Z
Q107187,245e29bd-7de5-4615-b751-5e87add5c8dd,2023-06-09T00:00:00Z
Q107194,8b43ed3d-6ece-4a96-bf88-d1571f5fd1fb,1959-07-06T00:00:00Z
Q107223,385e7720-a1c0-4e8b-bb27-2597319dcf6b,2012-09-05T00:00:00Z
Q107360,e86155df-51dc-4a29-84a6-1bf91bf33d13,2020-03-11T00:00:00Z
Q107456,0c1829a7-ecb7-4088-a9e7-08440ad8d5f3,1983-11-24T00:00:00Z
Q107457,2d7ea082-495c-4308-848e-233ac3e8d208,1821-01-08T00:00:00Z
Q107551,d2a8e6fe-cc0e-4616-8d0a-4ac95f5cf719,1993-01-29T00:00:00Z
Q107558,f8ca0921-e820-43ed-929d-97cff3365394,2018-01-28T00:00:00Z
Q107610771,bcd29f49-c12e-45f1-8b76-a8f769879e8a,1987-06-15T00:00:00Z
Q107615412,7223902a-5f8a-468d-8f06-ae4a3862d7c4,2020-11-09T00:00:00Z
Q107650,4f464b50-5985-4b9e-a112-e5ae2965a5e5,1990-01-09T00:00:00Z
Q107727,237867c2-66d0-4b39-88e4-912024889e07,2015-09-10T00:00:00Z
Q107729,b00bb4af-1740-4757-bb25-2e699f97a64e,1979-11-30T00:00:00Z
Q107743,4ee887bf-2c5b-4443-894b-01b0849f4021,1976-12-01T00:00:00Z
Q107753,9bf1b57c-45f4-4291-a294-41b5e6ddd095,2022-05-22T00:00:00Z
Q107756,56e88a22-b9a8-40cc-b02b-7363938d1bc6,2022-12-12T00:00:00Z
Q1078028,3f50b607-05b6-4493-b1aa-ce983f1da2c9,2017-08-10T00:00:00Z
Q1078207,ca3e1b6c-7df5-46b1-99bd-083b15ae9904,2018-08-06T00:00:00Z
Q107834,d47c7b96-46ef-4f1e-910b-13386b06d16e,1739-01-01T00:00:00Z
Q107836,02dd4986-f239-4f05-ac1e-11259a85e3b7,1976-10-06T00:00:00Z
Q1078361,e5c5a4cd-ceac-4499-b4af-667cf5343009,1996-03-24T00:00:00Z
Q1078823,33f96183-3187-4400-8ce1-6f9b1b305139,1725-01-01T00:00:00Z
Q107883,4683740b-0b85-4e5d-aafb-5a0f7492e8d1,1949-07-12T00:00:00Z
Q1078944,d334f9b3-f8fd-4876-bd20-fc3e73c3de8a,2022-01-17T00:00:00Z
Q1078983,28a4a5b9-87fa-4254-9c99-48871b1a068e,2005-01-26T00:00:00Z
Q1079521,40a08c96-5e5b-4255-b7f5-ba69a71283b7,1697-09-28T00:00:00Z
Q107963,1a6d2a6f-7ab8-4301-bbf0-e4ce7d751ad3,1924-03-06T00:00:00Z
Q107971,65b8ecc1-afd3-4168-bbb3-643408f71786,2024-02-19T00:00:00Z
Q1079809,767e8a76-7cc5-4bd1-9da0-cf92e21a9906,1791-12-03T00:00:00Z
Q107983,bb0e3173-777e-420f-bb71-c31a15ab8f60,2006-07-25T00:00:00Z
Q107983,bb0e3173-777e-420f-bb71-c31a15ab8f60,2006-07-27T00:00:00Z
Q1079902,a90aa7ce-52ac-42ac-9fad-586c5e2ace74,1770-05-04T00:00:00Z
Q1080028,96c804ef-fb7a-48a5-a9eb-3b16fa2ef440,1801-11-06T00:00:00Z
Q1080087,954d6bf4-97bb-48c2-bf30-6ade90e4b5fe,2004-10-23T00:00:00Z
Q108009,82776c4f-817d-4344-92f1-6bba2dc4bf27,1996-05-08T00:00:00Z
Q108012,d62b7006-70de-4d83-90db-0a4fc1017a7e,2006-07-07T00:00:00Z
Q1080169,1d25d018-9cb1-421d-a989-50a4c0986d98,2017-11-27T00:00:00Z
Q1080212,4d2cc582-f26f-4378-9284-7b4c316708dd,1861-05-12T00:00:00Z
Q1080826,1917ea4f-f775-421c-b544-6e480a13c07b,1708-09-03T00:00:00Z
Q1080976,0e71673f-5a74-4f52-9402-b7535dcbc866,2020-12-08T00:00:00Z
Q1080976,54b6dc87-07e3-4185-8a2c-43fc6adbec13,2020-12-08T00:00:00Z
Q1080976,fc4ae9ec-4ae3-49a2-8896-2549d970dbf1,2020-12-08T00:00:00Z
Q1081150,727ab9ab-741f-4272-91eb-ccbbfa40626c,2003-06-17T00:00:00Z
Q108124569,aef7d656-4afb-40db-9ccd-19e98b493249,2021-08-12T00:00:00Z
Q108151,52866ad0-1dcf-411f-9e7b-7f73ef8f33f6,2021-12-21T00:00:00Z
Q108153,ba960c01-c924-4760-9ede-402b96ee1dc7,1959-09-30T00:00:00Z
Q1081599,7fb573f1-6259-4a39-a238-13c92ef7e09a,2018-02-15T00:00:00Z
Q108164,84587a61-8cf4-4098-82bd-edac4e1dd0a5,2019-08-26T00:00:00Z
Q1081696,4b8bca66-70fa-4ca9-a73f-ada6310b8e18,2018-12-25T00:00:00Z
Q108224,4bfb7a19-2496-4951-9f5c-b2798b5653ac,1974-01-05T00:00:00Z
Q108230,cdbdb421-751a-4d16-9d0f-1e2577de9474,2009-01-22T00:00:00Z
Q108233,0fa8e6e9-ee9d-44e0-9d97-16bad8c70b7b,1962-12-03T00:00:00Z
Q108249,18935ffc-a125-4862-b9f6-97d6f022ddd6,2002-01-29T00:00:00Z
Q1082623,ead1c10d-32d8-4755-811d-a01aeb470e54,2023-11-14T00:00:00Z
Q1082852,27468967-fa24-493e-b09f-dc13637cab60,2023-01-01T00:00:00Z
Q1082867,1427be04-4680-4f05-8143-56a4f63352e5,2012-06-08T00:00:00Z
Q108300,354e6baa-3b0e-45eb-aeff-1ed26c1a19af,1961-11-14T00:00:00Z
Q108393,da278519-c6ce-4386-a548-69f1178fbe85,1995-02-24T00:00:00Z
Q108394,9f5487f9-36bc-4384-bdf8-ba5dc3a8bb30,2021-04-20T00:00:00Z
Q108427,b4124a30-4b99-447b-907f-59633113677c,2015-09-04T00:00:00Z
Q108460,b2b86032-f7a9-4bdb-8b7d-65581fea50df,1967-04-21T00:00:00Z
Q1084691,3a244f5a-8d2f-4f45-bba8-1e620508a239,2023-02-19T00:00:00Z
Q1084696,133fe923-a24c-45b4-9bae-d3e94d6c640e,1786-08-26T00:00:00Z
Q1084799,8f4f9699-4558-4624-9678-b0a21e6529d3,2005-02-02T00:00:00Z
Q108490,c8207080-b4cd-49c4-995d-42d2d2a3fd94,2013-10-29T00:00:00Z
Q1085032,81ffe022-7054-4929-b969-8d8a067c6a7f,2023-07-24T00:00:00Z
Q108513,d8787b21-f6cd-432e-a286-40d27c1eef16,2015-06-30T00:00:00Z
Q108517,e158c255-63e8-46cc-9197-fe4987980986,2009-09-11T00:00:00Z
Q1085293,5ac13b8d-e343-4e24-a881-5645acc752f0,1979-07-15T00:00:00Z
Q1085424,f0c0b731-f583-4628-8698-de572de0b794,2005-08-28T00:00:00Z
Q108544,6cdbb4b7-c339-4649-8c1f-3ab9e2143016,2012-03-11T00:00:00Z
Q1085553,d5e610b7-71a7-42a7-9baf-a02c594dd187,2019-12-15T00:00:00Z
Q108571,998628a2-8387-4ab2-847e-4622ee378ee6,1999-11-01T00:00:00Z
Q108670,e03cc95f-22fd-408c-b79f-37426e225ae9,1851-09-13T00:00:00Z
Q108675299,96ac0e05-7f3b-482d-adb9-58c2cba95175,1999-12-18T00:00:00Z
Q108768,68003f65-0ce3-482a-aabc-ea841af65dc2,1989-01-12T00:00:00Z
Q108811,cdef6efc-cffd-4570-9aa0-cecef17f7ed0,2002-10-01T00:00:00Z
Q108813,928d0e82-e4bb-40c4-a506-8b34f7f35e02,2024-01-13T00:00:00Z
Q108848,e2fe5f58-241a-47cc-b092-f990939343b7,2005-06-05T00:00:00Z
Q108864,d9df8e93-30dc-4542-8456-d05ab6b53243,2007-09-21T00:00:00Z
Q108867,03b30f8d-f946-47be-924e-010643a775b5,1954-08-04T00:00:00Z
Q108872,29d368a9-21e7-45ff-8449-59cf3622d2b6,1988-01-01T00:00:00Z
